pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,timestamp
79.9070053101,728.3610229492,-14.8654661179,-15.2230291367,,,,,-27.6809539795,,1770496273.772303
79.9070053101,728.3225708008,-15.2702178955,-15.6482725143,,,,,-27.7960567474,,1770496273.782777
79.8461303711,728.3225708008,-15.2334241867,-15.7090082169,,,,,-27.8356208801,,1770496273.7951639
79.9679031372,728.3994140625,-15.2702178955,-15.8912620544,,,,,-27.9399337769,,1770496273.805589
79.9070053101,727.9383544922,-15.2334241867,-15.7697677612,,,,,-27.5047016144,,1770496273.816828
79.9070053101,727.9768066406,-14.9758491516,-15.6482725143,,,,,-27.4111824036,,1770496273.826897
79.9679031372,728.0151977539,-15.5277786255,-15.7090082169,,,,,-27.522687912,,1770496273.838888
79.9070053101,728.0920410156,-14.7918777466,-15.2837877274,,,,,-27.9866962433,,1770496273.850053
79.3590087891,728.3610229492,-14.9390554428,-15.2230291367,,,,,-27.3644218445,,1770496273.861362
79.9070053101,728.4378662109,-15.2702178955,-15.1622934341,,,,,-27.529882431,,1770496273.8712409
79.7852325439,728.2457275391,-15.2702178955,-15.7090082169,,,,,-27.8248310089,,1770496273.883397
79.8461303711,728.3610229492,-14.9758491516,-15.2230291367,,,,,-27.3572273254,,1770496273.895357
79.9679031372,728.2457275391,-15.5645723343,-15.7090082169,,,,,-27.8248310089,,1770496273.9053178
79.7243270874,728.0151977539,-14.7918777466,-15.7090082169,,,,,-27.8068447113,,1770496273.91569
79.8461303711,728.0920410156,-15.1966295242,-15.1622934341,,,,,-27.7025356293,,1770496273.927828
79.2372360229,727.9383544922,-15.6381616592,-15.2837877274,,,,,-27.2097549438,,1770496273.9388301
79.9679031372,728.3994140625,-14.9758491516,-15.1622934341,,,,,-27.432762146,,1770496273.949905
78.8719100952,727.8999023438,-15.2702178955,-15.2230291367,,,,,-27.3176593781,,1770496273.959629
79.7852325439,728.0920410156,-15.2334241867,-15.1622934341,,,,,-28.033454895,,1770496273.9717371
79.7852325439,728.3225708008,-15.2334241867,-15.2230291367,,,,,-27.684551239,,1770496273.983399
78.8719100952,728.2457275391,-15.6013669968,-15.7090082169,,,,,-27.5442695618,,1770496273.993886
79.9070053101,728.3994140625,-14.9022607803,-15.2230291367,,,,,-27.5838375092,,1770496274.007481
79.9070053101,728.3610229492,-15.307012558,-15.7090082169,,,,,-27.8032493591,,1770496274.016136
79.8461303711,728.3225708008,-15.2702178955,-15.1015338898,,,,,-28.4183292389,,1770496274.0271502
79.9070053101,728.3994140625,-15.2334241867,-15.1015338898,,,,,-27.4363613129,,1770496274.0380511
79.8461303711,728.2841796875,-15.5645723343,-15.2230291367,,,,,-27.7924575806,,1770496274.048324
79.9070053101,728.2841796875,-14.8654661179,-15.2230291367,,,,,-27.9579200745,,1770496274.060363
79.9070053101,728.3610229492,-14.6079063416,-15.2230291367,,,,,-27.6557750702,,1770496274.071088
