pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,uptime,timestamp
111.62,-2.15,104408.71,-4.65,,-3.15,-7.95,867.05,-0.7094726562,-0.6388664246,1301050,1775935285.776159
111.62,-2.15,104408.71,-4.65,,-3.15,-7.95,867.05,-0.7094726562,-0.6388664246,1301050,1775935285.777139
110.90,-2.15,104434.68,-4.65,,-2.84,-8.10,867.18,-0.8240871429,-0.9922561646,1301060,1775935285.778095
110.90,-2.15,104434.68,-4.65,,-2.84,-8.10,867.18,-0.8240871429,-0.9922561646,1301060,1775935285.778765
111.02,-2.49,104313.51,-4.30,,-2.84,-7.45,866.93,-1.0030403137,-0.8423347473,1301070,1775935285.779423
111.02,-2.49,104313.51,-4.30,,-2.84,-7.45,866.93,-1.0030403137,-0.8423347473,1301070,1775935285.780077
110.90,-2.49,104313.51,-4.30,,-2.92,-7.56,866.99,-0.7062301636,-0.1070022583,1301080,1775935285.780742
110.90,-2.49,104313.51,-4.30,,-2.92,-7.56,866.99,-0.7062301636,-0.1070022583,1301080,1775935285.809003
110.90,-2.26,104434.68,-4.19,,-2.80,-7.56,867.18,-0.9668159485,-0.5853271484,1301090,1775935285.816312
110.90,-2.26,104434.68,-4.19,,-2.80,-7.56,867.18,-0.9668159485,-0.5853271484,1301090,1775935285.818423
111.62,-2.41,104434.68,-4.61,,-3.22,-7.60,867.12,-0.9538402557,-0.9886856079,1301100,1775935285.819819
111.62,-2.41,104434.68,-4.61,,-3.22,-7.60,867.12,-0.9538402557,-0.9886856079,1301100,1775935285.820908
110.90,-2.53,104434.68,-4.50,,-3.11,-8.37,866.45,-0.7678623199,-0.4104156494,1301110,1775935285.821742
110.90,-2.53,104434.68,-4.50,,-3.11,-8.37,866.45,-0.7678623199,-0.4104156494,1301110,1775935285.822647
111.62,-2.26,104434.68,-4.53,,-2.88,-7.52,866.81,-0.9181613922,-0.4960823059,1301120,1775935285.8235729
111.62,-2.26,104434.68,-4.53,,-2.88,-7.52,866.81,-0.9181613922,-0.4960823059,1301120,1775935285.829366
110.66,-2.11,104313.51,-4.76,,-2.92,-7.91,866.99,-0.9808731079,-0.9458503723,1301130,1775935285.860436
110.66,-2.11,104313.51,-4.76,,-2.92,-7.91,866.99,-0.9808731079,-0.9458503723,1301130,1775935285.868106
105.72,-2.15,104434.68,-4.27,,-2.80,-7.56,867.18,-0.9403228760,-0.5996017456,1301140,1775935285.876607
111.62,-1.88,104348.12,-4.69,,-2.88,-7.83,867.05,-0.9608688354,-0.7887916565,1301150,1775935285.8779619
111.62,-1.88,104348.12,-4.69,,-2.88,-7.83,867.05,-0.9608688354,-0.7887916565,1301150,1775935285.879369
111.26,-2.53,104417.38,-4.53,,-2.84,-7.83,867.48,-0.7548866272,-0.9815483093,1301160,1775935285.881034
111.26,-2.53,104417.38,-4.53,,-2.84,-7.83,867.48,-0.7548866272,-0.9815483093,1301160,1775935285.881902
111.62,-2.07,104313.51,-4.57,,-2.84,-7.52,866.99,-0.8813972473,-0.7281074524,1301170,1775935285.883171
111.62,-2.07,104313.51,-4.57,,-2.84,-7.52,866.99,-0.8813972473,-0.7281074524,1301170,1775935285.8842628
111.50,-2.15,104348.12,-4.57,,-3.15,-7.99,867.42,-0.9511375427,-0.6709899902,1301180,1775935285.9100091
106.68,-2.07,104348.12,-4.65,,-3.11,-7.87,866.99,-0.8738269806,-0.6031723022,1301190,1775935285.915027
106.68,-2.07,104348.12,-4.65,,-3.11,-7.87,866.99,-0.8738269806,-0.6031723022,1301190,1775935285.9159539
111.62,-2.15,104348.12,-4.57,,-2.96,-7.87,866.93,-1.1133270264,-0.9529876709,1301200,1775935285.916828
111.62,-2.15,104348.12,-4.57,,-2.96,-7.87,866.93,-1.1133270264,-0.9529876709,1301200,1775935285.917581
111.50,-2.57,104209.62,-4.69,,-4.40,-7.91,866.99,-0.8608512878,-0.3140335083,1301210,1775935285.918238
111.50,-2.57,104209.62,-4.69,,-4.40,-7.91,866.99,-0.8608512878,-0.3140335083,1301210,1775935285.9189272
111.62,-2.18,104313.51,-4.73,,-2.84,-7.83,867.05,-0.8635520935,-0.8851661682,1301220,1775935285.920086
111.62,-2.18,104313.51,-4.73,,-2.84,-7.83,867.05,-0.8635520935,-0.8851661682,1301220,1775935285.9233449
110.78,-2.07,104313.51,-4.04,,-3.11,-7.60,867.05,-0.8305759430,-0.4175529480,1301230,1775935285.925445
110.78,-2.07,104313.51,-4.04,,-3.11,-7.60,867.05,-0.8305759430,-0.4175529480,1301230,1775935285.969909
110.66,-2.49,104348.12,-4.57,,-3.15,-7.45,866.99,-0.8321971893,-0.6709899902,1301240,1775935285.975234
110.66,-2.49,104348.12,-4.57,,-3.15,-7.45,866.99,-0.8321971893,-0.6709899902,1301240,1775935285.977129
111.62,-2.49,104313.51,-4.61,,-2.88,-7.95,867.66,-0.9938449860,-0.8173446655,1301250,1775935285.978903
111.62,-2.49,104313.51,-4.61,,-2.88,-7.95,867.66,-0.9938449860,-0.8173446655,1301250,1775935285.982445
111.14,-2.64,104313.51,-4.65,,-3.26,-7.83,866.93,-0.9760055542,-0.7352447510,1301260,1775935285.9837718
